Movie_Name, Cast_Name, Total_Centrality, Average_Centrality
Vijaypath,bhawani,0,0
Vijaypath,babloo,34,1.416666667
Vijaypath,inspector,0,0
Vijaypath,brother,287.8333333,9.284946237
1942: A Love Story,hari,0,0
1942: A Love Story,shubhankar,476.1666667,5.536821705
1942: A Love Story,naren,295.3333333,1.230555556
1942: A Love Story,rajjo,430.1666667,3.469086022
1942: A Love Story,father,660.8333333,8.695175439
1942: A Love Story,douglas,97,3.88
1942: A Love Story,singh,274.5,3.347560976
1942: A Love Story,raghuvir,100,3.846153846
Hanste Zakhm,somesh,872.5,9.803370787
Hanste Zakhm,father,130.8,4.510344828
Hanste Zakhm,mahendru,787,5.917293233
Aa Gale Lag Jaa,father,460.5,4.74742268
Aa Gale Lag Jaa,jugal,391,3.341880342
Aa Gale Lag Jaa,boy,45,4.090909091
Heera Panna,heera,13,0.1625
Aag Andhi Aur Toofan,arjun,0,0
Hindustan Ki Kasam,raaj,0,0
Aao Pyaar Karen,suraj,918.6666667,11.77777778
Aao Pyaar Karen,wealthy,249.3333333,4.888888889
Aao Pyaar Karen,brother,37,2.3125
Andaz,ajay,272.8333333,4.960606061
Andaz Apna Apna,gogo,71,2.535714286
Andaz Apna Apna,amar,321,3.527472527
Andaz Apna Apna,brother,69,4.6
Andaz Apna Apna,boy,104.5,10.45
Andaz Apna Apna,teja,208,1.733333333
Andaz Apna Apna,prem,0,0
Andaz Apna Apna,ram,303.3333333,2.570621469
Anjaam,inspector,0,0
Anjaam,singh,203,4.511111111
Anjaam,brother,95,2.111111111
Anjaam,ashok,413,3.971153846
Anjaam,vijay,1304.833333,3.604511971
Joshila,amar,270.95,5.644791667
Joshila,jailor,0,0
Joshila,man,491.6,24.58
Bandit Queen,thakur,0,0
Bandit Queen,baba,245,4.298245614
Bandit Queen,mustakim,79,1.837209302
Bandit Queen,puttilal,91.66666667,2.291666667
Bandit Queen,vikram,716.6666667,7.166666667
Bandit Queen,shri,209.6666667,2.161512027
Bandit Queen,gujjar,183.1666667,3.213450292
Bandit Queen,man,37.5,0.892857143
Bandit Queen,singh,143,4.612903226
Bandit Queen,babu,0,0
Bandit Queen,ram,705.3333333,6.84789644
Jwar Bhata,son,1154.5,12.68681319
Jwar Bhata,nephew,100.3333333,4.013333333
Jwar Bhata,man,178,14.83333333
Jwar Bhata,advocate,0,0
Betaaj Badshah,raja,26,0.866666667
Betaaj Badshah,father,118,6.210526316
Betaaj Badshah,prithviraj,231.3333333,5.140740741
Brahma,suraj,67,3.526315789
Chaand Kaa Tukdaa,shyam,989.5,11.24431818
Kahani Kismat Ki,karam,409,14.60714286
Chauraha,amar,170,1.452991453
Keemat,dev,35.5,1.109375
Keemat,bhanu,14,0.189189189
Keemat,man,22,3.666666667
